partido,Auxílio-Moradia-2015,Auxílio-Moradia-2016,Auxílio-Moradia-2017,Auxílio-Moradia-2018,Escritório(s) de Apoio-2015,Escritório(s) de Apoio-2016,Escritório(s) de Apoio-2017,Escritório(s) de Apoio-2018,Gabinete-2015,Gabinete-2016,Gabinete-2017,Gabinete-2018,Imóvel Funcional-2015,Imóvel Funcional-2016,Imóvel Funcional-2017,Imóvel Funcional-2018,TotalGabinete-2015,TotalGabinete-2016,TotalGabinete-2017,TotalGabinete-2018,gastos,gastos2015,gastos2016,gastos2017,gastos2018
MDB,32,17,10,0,263,267,308,328,365,366,361,448,124,132,146,52,628,633,669,776,19473703.71,5516937.42,5551395.65,6474080.43,1931290.21
PSDB,39,38,27,8,137,142,164,180,237,228,187,246,92,113,121,35,374,370,351,426,15457325.46,4643389.03,4758062.00,4649262.33,1406612.09
PT,57,34,24,5,193,168,202,201,140,125,134,167,48,74,84,28,333,293,336,368,14346981.57,4211116.29,4407091.37,4310293.19,1418480.72
PP,12,17,24,8,132,151,164,165,99,118,112,126,31,36,36,12,231,269,276,291,7796218.94,2109615.54,2331558.65,2522704.19,832340.56
PODE,0,0,0,0,96,92,85,83,108,92,101,121,20,24,24,8,204,184,186,204,6215177.23,1809579.83,1928504.99,1857581.12,619511.29
PSD,10,12,12,4,60,61,61,65,89,86,94,110,32,36,36,12,149,147,155,175,5624141.16,1540918.85,1657092.57,1801479.90,624649.84
PSB,0,0,1,3,100,109,116,120,77,65,71,84,48,48,48,16,177,174,187,204,5489380.99,1679207.50,1517537.66,1713647.43,578988.40
DEM,13,21,12,4,94,69,93,93,93,90,110,124,16,24,24,8,187,159,203,217,5489145.65,1598820.31,1645229.45,1797720.22,447375.67
PR,12,19,24,8,88,93,93,90,78,78,91,105,24,24,12,4,166,171,184,195,5234754.24,1461562.46,1703251.54,1562412.19,507528.05
PDT,12,23,25,8,39,56,78,71,38,59,76,76,2,0,0,0,77,115,154,147,3933741.76,971500.18,1133750.98,1355314.09,473176.51
PTB,11,10,0,0,53,15,53,50,40,68,33,43,12,17,21,8,93,83,86,93,2901743.57,802779.64,783276.79,895322.22,420364.92
PRB,12,21,24,8,25,12,57,61,15,28,34,41,0,0,0,0,40,40,91,102,2353485.74,455566.24,610120.12,962058.80,325740.58
PCdoB,0,0,0,0,36,43,43,42,19,20,18,22,12,12,12,4,55,63,61,64,1815585.64,581310.32,528858.38,563688.08,141728.86
REDE,0,0,0,0,22,30,35,35,15,13,13,17,12,12,12,4,37,43,48,52,1675673.02,528366.64,532351.48,450742.29,164212.61
PTC,0,0,0,0,0,0,31,33,77,78,50,55,12,12,12,4,77,78,81,88,1617254.83,478864.48,537064.71,431015.35,170310.29
PROS,0,0,0,0,0,19,30,40,79,57,46,59,0,0,0,0,79,76,76,99,969830.59,243355.52,300146.29,332663.38,93665.40
S/Partido,22,7,1,0,36,0,0,0,37,9,10,9,0,0,0,0,73,9,10,9,664263.85,521769.25,138176.87,4146.17,171.56
PPS,0,0,0,0,0,0,0,0,25,27,26,31,0,0,0,0,25,27,26,31,278237.25,29753.18,125392.13,91630.57,31461.37
PRTB,0,0,0,4,0,0,11,0,0,0,32,3,0,0,0,0,0,0,43,3,160101.74,0.00,0.00,30225.73,129876.01
PSC,0,2,0,0,0,19,0,0,0,14,0,0,0,0,0,0,0,33,0,0,47161.41,0.00,47161.41,0.00,0.00
PV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
PPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
