codigo,Auxílio-Moradia-2015,Auxílio-Moradia-2016,Auxílio-Moradia-2017,Auxílio-Moradia-2018,Escritório(s) de Apoio-2015,Escritório(s) de Apoio-2016,Escritório(s) de Apoio-2017,Escritório(s) de Apoio-2018,Gabinete-2015,Gabinete-2016,Gabinete-2017,Gabinete-2018,Imóvel Funcional-2015,Imóvel Funcional-2016,Imóvel Funcional-2017,Imóvel Funcional-2018,Participacao,TotalGabinete-2015,TotalGabinete-2016,TotalGabinete-2017,TotalGabinete-2018,UF,email,gastos,gastos2015,gastos2016,gastos2017,gastos2018,nascimentoData,naturalMunicipio,nome,nomeCompleto,nomeSort,partido,sexo,status,urlFoto,urlPagina
4981,0.00,0,0,0,20,0,20,21,24,0,26,31,0.92,0,0,0,Titular,44,0,46,52,RO,acir@senador.leg.br,1457948.86,427372.85,320678.20,422273.43,287624.38,25/02/1962,4104808,Acir Gurgacz,Acir Marcos Gurgacz,acir gurgacz,PDT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981
5140,0.00,0,1,0,0,0,9,10,0,0,20,23,0.00,0,9,7,1º Suplente,0,0,29,33,SP,sen.airtonsandoval@senado.leg.br,411044.54,0.00,0.00,267074.17,143970.37,21/06/1943,3523701,Airton Sandoval,Airton Sandoval Santana,airton sandoval,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5140.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5140
945,0.00,0,0,0,7,7,8,8,22,22,22,25,0.00,0,0,0,Titular,29,29,30,33,PR,alvarodias@senador.leg.br,498343.37,123341.58,181538.14,161961.11,31502.54,07/12/1944,3541703,Alvaro Dias,Alvaro Fernandes Dias,alvaro dias,PODE,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/945
4988,0.00,0,0,0,4,3,4,3,18,16,17,20,0.00,0,0,0,Titular,22,19,21,23,RS,ana.amelia@senadora.leg.br,806254.67,193836.01,223285.39,228719.11,160414.16,23/03/1945,4311304,Ana Amélia,Ana Amélia de Lemos,ana amelia,PP,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4988.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4988
5529,0.00,0,0,0,5,5,5,5,14,14,14,19,10.00,12,12,7,Titular,19,19,19,24,MG,antonio.anastasia@senador.leg.br,1304666.77,317360.50,355051.05,432331.45,199923.77,09/05/1961,3106200,Antonio Anastasia,Antonio Augusto Junho Anastasia,antonio anastasia,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529
3,0.00,0,0,0,26,28,0,31,15,14,0,19,11.00,12,12,7,Titular,41,42,0,50,SE,antoniocarlosvaladares@senador.leg.br,1180562.44,346372.95,319672.45,414959.75,99557.29,06/04/1943,2807105,Antonio Carlos Valadares,Antonio Carlos Valadares,antonio carlos valadares,PSB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3
715,0.00,0,0,0,0,15,15,11,0,21,21,25,11.00,12,12,7,Titular,0,36,36,36,PE,armando.monteiro@senador.leg.br,918946.08,365.28,179441.07,422953.66,316186.07,24/02/1952,2611606,Armando Monteiro,Armando de Queiroz Monteiro Neto,armando monteiro,PTB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador715.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/715
5164,0.00,0,0,0,8,9,27,34,17,19,17,17,11.00,12,12,7,1º Suplente,25,28,44,51,TO,ataides.oliveira@senador.leg.br,1122214.28,305481.59,337894.91,302405.04,176432.74,18/12/1959,5207501,Ataídes Oliveira,Ataídes de Oliveira,ataides oliveira,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5164.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5164
391,0.00,0,0,0,2,2,2,2,22,21,24,29,8.25,0,0,0,Titular,24,23,26,31,MG,aecio.neves@senador.leg.br,1129435.18,295261.89,391969.40,266435.05,175768.84,10/03/1960,3106200,Aécio Neves,Aécio Neves da Cunha,aecio neves,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador391.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/391
739,11.00,12,12,7,15,13,26,25,33,36,28,20,0.00,0,0,0,Titular,48,49,54,45,PI,ciro.nogueira@senador.leg.br,2259539.62,577649.32,641886.92,621616.83,418386.55,21/11/1968,2211001,Ciro Nogueira,Ciro Nogueira Lima Filho,ciro nogueira,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739
