partido,Auxílio-Moradia-2011,Auxílio-Moradia-2012,Auxílio-Moradia-2013,Auxílio-Moradia-2014,Auxílio-Moradia-2015,Escritório(s) de Apoio-2011,Escritório(s) de Apoio-2012,Escritório(s) de Apoio-2013,Escritório(s) de Apoio-2014,Escritório(s) de Apoio-2015,Gabinete-2011,Gabinete-2012,Gabinete-2013,Gabinete-2014,Gabinete-2015,Imóvel Funcional-2011,Imóvel Funcional-2012,Imóvel Funcional-2013,Imóvel Funcional-2014,Imóvel Funcional-2015,TotalGabinete-2011,TotalGabinete-2012,TotalGabinete-2013,TotalGabinete-2014,TotalGabinete-2015,gastos,gastos2011,gastos2012,gastos2013,gastos2014,gastos2015
MDB,0,0,54,49,4.08,274,299,308,250,229,363,388,410,317,291,0,0,95,150,15.00,637,687,718,567,520,20725171.81,3905940.90,5187333.46,5594564.09,5418060.63,619272.73
PT,0,0,33,40,6.92,146,148,159,152,121,130,126,134,138,101,0,0,42,78,5.00,276,274,293,290,222,13020143.66,2395327.15,3279043.65,3375628.09,3639917.53,330227.24
PSDB,0,0,35,27,2.58,100,128,143,158,118,154,172,208,218,161,0,0,56,109,10.58,254,300,351,376,279,12933686.25,2321663.82,2985691.20,3617435.22,3645126.72,363769.29
PDT,0,0,11,16,1.00,80,68,86,68,39,84,71,82,70,38,0,0,28,48,1.17,164,139,168,138,77,6594170.52,1385639.22,1557512.94,1695458.87,1855908.01,99651.48
PTB,0,0,28,29,4.92,83,57,110,85,20,136,168,172,152,24,0,0,14,24,2.00,219,225,282,237,44,6577584.71,1359588.59,1760125.95,1755009.44,1578614.77,124245.96
PP,0,0,11,15,1.00,120,100,121,115,110,102,103,98,80,81,0,0,21,33,2.00,222,203,219,195,191,6168074.76,1255024.85,1569875.14,1644372.53,1574587.45,124214.79
PR,0,0,22,28,3.00,126,112,111,100,77,146,101,89,81,51,0,0,21,24,2.00,272,213,200,181,128,5629947.03,945652.89,1641281.67,1505154.27,1411240.74,126617.46
PSB,0,0,0,0,0.00,68,108,103,98,100,99,99,107,106,77,0,0,28,48,4.00,167,207,210,204,177,5042380.65,690765.73,1368740.25,1504469.54,1338429.24,139975.89
PCdoB,0,0,11,12,2.00,41,42,43,41,36,31,29,33,34,19,0,0,7,12,1.00,72,71,76,75,55,3461816.76,683692.61,780152.71,963298.03,949803.93,84869.48
DEM,0,0,11,15,1.00,75,66,47,64,41,94,71,51,65,34,0,0,19,33,2.08,169,137,98,129,75,3240819.15,583641.93,936625.69,808643.36,790995.91,120912.26
S/Partido,0,0,22,18,1.83,36,34,37,36,36,28,26,22,24,27,0,0,0,0,0.00,64,60,59,60,63,2373071.11,670656.95,671899.15,569587.79,417623.96,43303.26
PSD,0,0,0,0,0.00,33,30,29,26,42,8,8,7,55,23,0,0,7,12,1.00,41,38,36,81,65,1874843.92,380605.28,470434.35,478633.76,488211.72,56958.81
PTC,0,0,0,0,0.00,0,0,0,0,0,56,59,65,69,77,0,0,7,12,1.00,56,59,65,69,77,1695842.84,364908.72,423161.73,420674.40,447192.62,39905.37
REDE,0,0,1,0,0.00,32,22,22,21,22,14,13,11,12,15,0,0,7,12,1.00,46,35,33,33,37,1522116.57,302852.67,384370.76,368831.40,422031.19,44030.55
PRB,0,0,11,7,1.00,28,28,29,23,25,15,14,16,15,15,0,0,0,6,0.00,43,42,45,38,40,1181758.96,240710.54,304931.43,361294.48,236858.66,37963.85
PV,0,0,11,12,0.00,15,17,17,0,0,17,18,16,0,0,0,0,0,0,0.00,32,35,33,0,0,942965.12,196939.25,229892.94,274990.73,241142.20,0.00
PODE,0,0,0,0,0.00,14,11,8,8,21,16,15,18,19,41,0,0,0,0,0.83,30,26,26,27,62,386293.60,48094.25,99250.69,109892.18,80638.66,48417.82
PSOL,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,336152.82,336152.82,0.00,0.00,0.00,0.00
PPL,0,0,0,0,0.00,0,28,0,0,0,0,36,0,0,0,0,0,0,0,0.00,0,64,0,0,0,146349.21,0.00,51371.96,94977.25,0.00,0.00
PSL,0,0,0,0,0.00,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0.00,0,28,0,0,0,43109.71,0.00,34386.92,5220.50,0.00,3502.29
PROS,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0.00,0,0,0,0,79,20279.63,0.00,0.00,0.00,0.00,20279.63
PPS,0,0,0,0,0.00,0,0,0,0,0,24,27,27,25,25,0,0,0,0,0.00,24,27,27,25,25,12373.43,0.00,0.00,0.00,9894.00,2479.43
PRTB,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
PSC,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
